GEOID,GEO.display.label,pop,pop.white,pop.not.white,pct.white,pct.not.white
17031590600,17031590600,3564,1923,1641,0.53956229,0.46043771
17031590700,17031590700,3100,1824,1276,0.588387097,0.411612903
17031600400,17031600400,3891,1334,2557,0.342842457,0.657157543
17031600600,17031600600,2738,1229,1509,0.448867787,0.551132213
17031600700,17031600700,2545,1089,1456,0.427897839,0.572102161
17031600900,17031600900,3699,1706,1993,0.461205731,0.538794269
17031610400,17031610400,2213,941,1272,0.425214641,0.574785359
17031610800,17031610800,1393,1198,195,0.860014358,0.139985642
17031611000,17031611000,1098,97,1001,0.088342441,0.911657559
17031611200,17031611200,2824,919,1905,0.325424929,0.674575071
17031611600,17031611600,1609,152,1457,0.094468614,0.905531386
17031611700,17031611700,1990,226,1764,0.113567839,0.886432161
17031611800,17031611800,2139,186,1953,0.086956522,0.913043478
17031611900,17031611900,2045,153,1892,0.074816626,0.925183374
17031620100,17031620100,4289,2212,2077,0.515737934,0.484262066
17031620200,17031620200,2223,1323,900,0.5951417,0.4048583
17031620300,17031620300,6399,3877,2522,0.605875918,0.394124082
17031620400,17031620400,5198,3019,2179,0.580800308,0.419199692
17031630200,17031630200,1931,863,1068,0.446918695,0.553081305
17031630300,17031630300,5521,2347,3174,0.425104148,0.574895852
17031630500,17031630500,6364,3100,3264,0.487115022,0.512884978
17031630800,17031630800,7107,3246,3861,0.456732799,0.543267201
17031630900,17031630900,5363,2554,2809,0.476225993,0.523774007
17031640300,17031640300,6463,5055,1408,0.782144515,0.217855485
17031640400,17031640400,3190,2700,490,0.846394984,0.153605016
17031640500,17031640500,3491,2855,636,0.817817244,0.182182756
17031640600,17031640600,3912,3028,884,0.77402863,0.22597137
17031640700,17031640700,3156,2353,803,0.745564005,0.254435995
17031640800,17031640800,1716,943,773,0.5495338,0.4504662
17031650100,17031650100,4816,2683,2133,0.557101329,0.442898671
17031650200,17031650200,7320,4428,2892,0.604918033,0.395081967
17031650301,17031650301,5711,3583,2128,0.627385747,0.372614253
17031650302,17031650302,4344,2295,2049,0.528314917,0.471685083
17031650400,17031650400,6743,3269,3474,0.484799051,0.515200949
17031650500,17031650500,4421,2416,2005,0.546482696,0.453517304
17031660302,17031660302,5527,1802,3725,0.326035824,0.673964176
17031660400,17031660400,5960,2668,3292,0.447651007,0.552348993
17031660500,17031660500,5534,2444,3090,0.441633538,0.558366462
17031660600,17031660600,6333,1102,5231,0.174009158,0.825990842
17031660700,17031660700,2366,41,2325,0.017328825,0.982671175
17031660900,17031660900,4232,322,3910,0.076086957,0.923913043
17031661100,17031661100,6542,1993,4549,0.304646897,0.695353103
17031670500,17031670500,1321,22,1299,0.01665405,0.98334595
17031670600,17031670600,1650,13,1637,0.007878788,0.992121212
17031670800,17031670800,1635,5,1630,0.003058104,0.996941896
17031670900,17031670900,1351,3,1348,0.002220577,0.997779423
17031671200,17031671200,1252,8,1244,0.006389776,0.993610224
17031671300,17031671300,2688,17,2671,0.006324405,0.993675595
17031680500,17031680500,1481,12,1469,0.008102633,0.991897367
17031680900,17031680900,4019,28,3991,0.006966907,0.993033093
17031681000,17031681000,3498,22,3476,0.006289308,0.993710692
17031681400,17031681400,3247,15,3232,0.004619649,0.995380351
17031690400,17031690400,3464,17,3447,0.004907621,0.995092379
17031690500,17031690500,877,6,871,0.006841505,0.993158495
17031691000,17031691000,2492,16,2476,0.006420546,0.993579454
17031691100,17031691100,3266,28,3238,0.008573178,0.991426822
17031700200,17031700200,6609,3226,3383,0.488122258,0.511877742
17031700301,17031700301,5728,3529,2199,0.616096369,0.383903631
17031700302,17031700302,5319,3317,2002,0.623613461,0.376386539
17031700401,17031700401,5923,1367,4556,0.230795205,0.769204795
17031700501,17031700501,7125,399,6726,0.056,0.944
17031700502,17031700502,3036,269,2767,0.088603426,0.911396574
17031710300,17031710300,1414,3,1411,0.002121641,0.997878359
17031710400,17031710400,5651,29,5622,0.005131835,0.994868165
17031710800,17031710800,5338,17,5321,0.003184713,0.996815287
17031720100,17031720100,3300,2068,1232,0.626666667,0.373333333
17031720200,17031720200,4016,1597,2419,0.397659363,0.602340637
17031720300,17031720300,3723,2488,1235,0.66827827,0.33172173
17031720400,17031720400,1924,1719,205,0.893451143,0.106548857
17031720500,17031720500,2166,2051,115,0.946906741,0.053093259
17031720600,17031720600,1756,1401,355,0.797835991,0.202164009
17031720700,17031720700,3149,1061,2088,0.336932359,0.663067641
17031730100,17031730100,2424,9,2415,0.003712871,0.996287129
17031730700,17031730700,2331,13,2318,0.005577006,0.994422994
17031740100,17031740100,3048,2861,187,0.938648294,0.061351706
17031740200,17031740200,6547,5947,600,0.908354972,0.091645028
17031740400,17031740400,4785,4016,769,0.839289446,0.160710554
17031750100,17031750100,4147,35,4112,0.008439836,0.991560164
17031750200,17031750200,3227,1262,1965,0.391075302,0.608924698
17031750300,17031750300,2530,2258,272,0.892490119,0.107509881
17031750400,17031750400,3009,2026,983,0.673313393,0.326686607
17031760801,17031760801,4047,2931,1116,0.724240178,0.275759822
17031760802,17031760802,2276,2158,118,0.948154657,0.051845343
17031760803,17031760803,6236,5323,913,0.853592046,0.146407954
17031770601,17031770601,3232,2745,487,0.849319307,0.150680693
17031770602,17031770602,4956,3464,1492,0.698950767,0.301049233
17031770700,17031770700,2681,2339,342,0.872435658,0.127564342
17031770901,17031770901,4934,4383,551,0.888325902,0.111674098
17031770902,17031770902,3521,3236,285,0.919057086,0.080942914
17031800100,17031800100,2419,2336,83,0.965688301,0.034311699
17031800200,17031800200,6312,5865,447,0.92918251,0.07081749
17031800300,17031800300,3501,3329,172,0.95087118,0.04912882
17031800400,17031800400,3762,3567,195,0.948165869,0.051834131
17031800700,17031800700,5135,4625,510,0.900681597,0.099318403
17031800800,17031800800,2206,1921,285,0.87080689,0.12919311
17031801000,17031801000,4908,3922,986,0.799103504,0.200896496
17031801100,17031801100,4715,4299,416,0.911770944,0.088229056
17031801200,17031801200,3547,3390,157,0.955737243,0.044262757
17031801300,17031801300,4283,3907,376,0.912211067,0.087788933
17031801400,17031801400,2919,2366,553,0.810551559,0.189448441
17031801500,17031801500,5928,5247,681,0.885121457,0.114878543
17031801603,17031801603,3855,2338,1517,0.606485084,0.393514916
17031801605,17031801605,5599,4832,767,0.863011252,0.136988748
17031801606,17031801606,6066,5139,927,0.847181009,0.152818991
17031801607,17031801607,5287,3786,1501,0.716096085,0.283903915
17031801608,17031801608,6564,5206,1358,0.793113955,0.206886045
17031801701,17031801701,3728,3328,400,0.892703863,0.107296137
17031801800,17031801800,5619,5052,567,0.899092365,0.100907635
17031801902,17031801902,3223,2990,233,0.927707105,0.072292895
17031802002,17031802002,5071,4326,745,0.853086176,0.146913824
17031802003,17031802003,2684,2036,648,0.7585693,0.2414307
17031802100,17031802100,3573,3336,237,0.933669186,0.066330814
17031802300,17031802300,4840,3870,970,0.799586777,0.200413223
17031802402,17031802402,4821,3418,1403,0.708981539,0.291018461
17031802505,17031802505,6844,4200,2644,0.613676213,0.386323787
17031802506,17031802506,2508,1756,752,0.70015949,0.29984051
17031802609,17031802609,6699,3977,2722,0.593670697,0.406329303
17031802610,17031802610,1729,1435,294,0.829959514,0.170040486
17031802701,17031802701,6952,5077,1875,0.730293441,0.269706559
17031802702,17031802702,4498,3551,947,0.789461983,0.210538017
17031805201,17031805201,3406,2413,993,0.708455666,0.291544334
17031805202,17031805202,4028,3110,918,0.772095333,0.227904667
17031805301,17031805301,3496,2169,1327,0.620423341,0.379576659
17031805302,17031805302,3602,2398,1204,0.665741255,0.334258745
17031805401,17031805401,3841,3323,518,0.865139287,0.134860713
17031805501,17031805501,3400,3205,195,0.942647059,0.057352941
17031805600,17031805600,4511,4345,166,0.963201064,0.036798936
17031805701,17031805701,5074,4895,179,0.964722113,0.035277887
17031805702,17031805702,2015,1869,146,0.927543424,0.072456576
17031805801,17031805801,2400,2271,129,0.94625,0.05375
17031805802,17031805802,4926,4606,320,0.935038571,0.064961429
17031805901,17031805901,3834,3313,521,0.864110589,0.135889411
17031806001,17031806001,5812,3052,2760,0.52512044,0.47487956
17031806002,17031806002,7550,3985,3565,0.52781457,0.47218543
17031806003,17031806003,8109,3486,4623,0.429892712,0.570107288
17031806102,17031806102,3973,3135,838,0.789076265,0.210923735
17031806103,17031806103,5238,4196,1042,0.80106911,0.19893089
17031806104,17031806104,4206,2468,1738,0.586780789,0.413219211
17031806300,17031806300,4960,4239,721,0.854637097,0.145362903
17031806400,17031806400,2494,2107,387,0.844827586,0.155172414
17031806501,17031806501,2773,1443,1330,0.520375045,0.479624955
17031806502,17031806502,4205,3097,1108,0.736504162,0.263495838
17031806600,17031806600,3490,2778,712,0.795988539,0.204011461
17031806700,17031806700,4409,3414,995,0.774325244,0.225674756
17031806802,17031806802,3300,2078,1222,0.62969697,0.37030303
17031806900,17031806900,4713,2754,1959,0.584341184,0.415658816
17031807100,17031807100,3817,2756,1061,0.72203301,0.27796699
17031807400,17031807400,6518,3674,2844,0.563669837,0.436330163
17031807500,17031807500,3189,1833,1356,0.574788335,0.425211665
17031807700,17031807700,5933,3656,2277,0.616214394,0.383785606
17031807800,17031807800,2624,1874,750,0.714176829,0.285823171
17031807900,17031807900,4074,3005,1069,0.73760432,0.26239568
17031808001,17031808001,3646,2289,1357,0.6278113,0.3721887
